,Name,strain,replicate,time,bioreplicate,drug,person,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A1710M,y003_0_1a_B1,A17,1,0,one,FLC,M,11,17,19,0.13,0.25,0.26,113.8
A1710M,y003_0_1a_B2,A17,1,0,two,FLC,M,9,16,18,0.3,0.39,0.32,64.5
A1710M,y003_0_1b_B1,A17,1,0,one,FLC,M,12,16,19,0.2,0.22,0.25,120.3
A1710M,y003_0_1b_B2,A17,1,0,two,FLC,M,10,16,18,0.35,0.37,0.3,65.6
A17100M,y003_0_10a_B1,A17,10,0,one,FLC,M,8,14,16,0.28,0.35,0.29,115
A17100M,y003_0_10a_B2,A17,10,0,two,FLC,M,12,15,17,0.33,0.27,0.23,103.5
A17100M,y003_0_10b_B1,A17,10,0,one,FLC,M,8,14,17,0.3,0.38,0.33,100.5
A17100M,y003_0_10b_B2,A17,10,0,two,FLC,M,12,15,17,0.18,0.22,0.22,99.6
A17110M,y003_0_11a_B1,A17,11,0,one,FLC,M,11,15,16,0.27,0.21,0.2,138.6
A17110M,y003_0_11a_B2,A17,11,0,two,FLC,M,12,15,17,0.15,0.18,0.19,102.1
A17110M,y003_0_11b_B1,A17,11,0,one,FLC,M,9,14,15,0.17,0.23,0.22,131.6
A17110M,y003_0_11b_B2,A17,11,0,two,FLC,M,13,16,19,0.19,0.19,0.23,101.3
A17120M,y003_0_12a_B1,A17,12,0,one,FLC,M,11,13,15,0.17,0.18,0.22,174.2
A17120M,y003_0_12a_B2,A17,12,0,two,FLC,M,10,13,16,0.23,0.29,0.29,78.6
A17120M,y003_0_12b_B1,A17,12,0,one,FLC,M,8,14,17,0.26,0.37,0.33,110.7
A17120M,y003_0_12b_B2,A17,12,0,two,FLC,M,10,14,16,0.09,0.23,0.23,89
A1710M,y003_0_2a_B1,A17,1,0,one,FLC,M,14,18,20,0.19,0.2,0.21,137
A1720M,y003_0_2a_B2,A17,2,0,two,FLC,M,7,14,17,0.63,0.5,0.39,62.7
A1720M,y003_0_2b_B1,A17,2,0,one,FLC,M,14,17,19,0.15,0.18,0.19,137.6
A1720M,y003_0_2b_B2,A17,2,0,two,FLC,M,10,16,18,0.34,0.36,0.3,69.8
A1730M,y003_0_3a_B1,A17,3,0,one,FLC,M,16,18,20,0.15,0.14,0.16,138.5
