name,line,time,transfer,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A02_t0_1_a,A02,t0,0,11,11,12,0.06,0.05,0.09,253.3
A02_t0_1_b,A02,t0,0,11,11,12,0.05,0.05,0.09,227.8
A02_t0_10_a,A02,t0,0,11,12,13,0.1,0.09,0.13,257.6
A02_t0_10_b,A02,t0,0,11,12,13,0.16,0.13,0.16,233.6
A02_t0_11_a,A02,t0,0,11,11,12,0.05,0.04,0.08,286
A02_t0_11_b,A02,t0,0,11,11,12,0.06,0.06,0.09,282.9
A02_t0_12_a,A02,t0,0,10,11,12,0.06,0.09,0.13,266.9
A02_t0_12_b,A02,t0,0,10,11,12,0.05,0.08,0.14,282.4
A02_t0_2_a,A02,t0,0,11,12,12,0.06,0.1,0.09,200.5
A02_t0_2_b,A02,t0,0,11,11,12,0.07,0.07,0.11,178.5
A02_t0_3_a,A02,t0,0,11,12,13,0.1,0.1,0.14,205.6
A02_t0_3_b,A02,t0,0,10,11,12,0.52,0.26,0.24,249.4
A02_t0_4_a,A02,t0,0,11,12,13,0.04,0.07,0.11,247.1
A02_t0_4_b,A02,t0,0,11,12,12,0.17,0.13,0.12,265.3
A02_t0_5_a,A02,t0,0,11,12,13,0.04,0.07,0.12,265.1
A02_t0_5_b,A02,t0,0,11,12,13,0.08,0.09,0.13,233.7
A02_t0_6_a,A02,t0,0,12,12,13,0.05,0.05,0.1,191.9
A02_t0_6_b,A02,t0,0,11,12,13,0.03,0.05,0.1,252.3
A02_t0_7_a,A02,t0,0,11,12,12,0.05,0.09,0.08,189.1
A02_t0_7_b,A02,t0,0,11,11,12,0.05,0.05,0.09,276.2
A02_t0_8_a,A02,t0,0,11,11,12,0.05,0.05,0.09,240.9
A02_t0_8_b,A02,t0,0,11,11,12,0.05,0.05,0.09,270.9
A02_t0_9_a,A02,t0,0,11,12,12,0.04,0.08,0.07,224
A02_t0_9_b,A02,t0,0,10,11,12,0.24,0.14,0.16,265.5
A02_t5_1_a_24,A02,t5,24,12,13,14,0.05,0.08,0.12,239.1
A02_t5_1_a_72,A02,t5,72,12,13,13,0.04,0.07,0.07,141.3
A02_t5_1_b_24,A02,t5,24,11,12,13,0.3,0.16,0.16,190.3
A02_t5_1_b_72,A02,t5,72,11,12,13,0.04,0.06,0.1,230.7
A02_t5_10_a_24,A02,t5,24,11,12,14,0.55,0.27,0.21,195.5
A02_t5_10_a_72,A02,t5,72,11,13,13,0.59,0.23,0.21,207.7
A02_t5_10_b_24,A02,t5,24,11,12,13,0.05,0.06,0.1,236.8
A02_t5_10_b_72,A02,t5,72,12,12,13,0.06,0.05,0.08,187.5
A02_t5_11_a_24,A02,t5,24,12,12,13,0.04,0.04,0.08,221
A02_t5_11_a_72,A02,t5,72,13,14,15,0.24,0.17,0.17,136.1
A02_t5_11_b_24,A02,t5,24,12,13,14,0.03,0.06,0.11,258.5
A02_t5_11_b_72,A02,t5,72,13,14,15,0.03,0.05,0.08,135
A02_t5_12_a_24,A02,t5,24,12,12,13,0.05,0.05,0.08,191.4
A02_t5_12_a_72,A02,t5,72,13,14,15,0.04,0.07,0.11,188.8
A02_t5_12_b_24,A02,t5,24,12,13,13,0.05,0.08,0.08,158.5
