,strain,replicate,techRep,bioRep,drug,time,person,OD_24h,OD_48h,OD_72h,OD_72h_Mixed
A0210M,A02,1,A,one,0,0,M,1.4444,1.5049,1.5076,1.0767
A0220M,A02,2,A,one,0,0,M,1.4363,1.5024,1.5057,1.0746
A0230M,A02,3,A,one,0,0,M,1.4385,1.5037,1.5049,1.0799
A0240M,A02,4,A,one,0,0,M,1.4272,1.4903,1.4948,1.0646
A0250M,A02,5,A,one,0,0,M,1.4245,1.4897,1.4919,1.0693
A0260M,A02,6,A,one,0,0,M,1.4405,1.4921,1.4942,1.0537
A0270M,A02,7,A,one,0,0,M,1.427,1.4869,1.4917,1.0561
A0280M,A02,8,A,one,0,0,M,1.4382,1.4984,1.4981,1.0716
A0290M,A02,9,A,one,0,0,M,1.4327,1.4951,1.4955,1.0479
A02100M,A02,10,A,one,0,0,M,1.4361,1.4959,1.4949,1.0473
A02110M,A02,11,A,one,0,0,M,1.4429,1.4987,1.5008,1.0414
A02120M,A02,12,A,one,0,0,M,1.4412,1.4972,1.4998,1.0443
A0210M,A02,1,B,one,0,0,M,1.4917,1.4957,1.5074,1.0649
A0220M,A02,2,B,one,0,0,M,1.4851,1.4894,1.4958,1.0784
A0230M,A02,3,B,one,0,0,M,1.4817,1.4951,1.5007,1.0761
A0240M,A02,4,B,one,0,0,M,1.4702,1.4902,1.4907,1.0519
A0250M,A02,5,B,one,0,0,M,1.4667,1.4885,1.4874,1.0709
A0260M,A02,6,B,one,0,0,M,1.4667,1.4917,1.4903,1.0641
A0270M,A02,7,B,one,0,0,M,1.4527,1.4785,1.4806,1.0305
A0280M,A02,8,B,one,0,0,M,1.4627,1.4891,1.4895,1.0772
A0290M,A02,9,B,one,0,0,M,1.4603,1.4836,1.49,1.0392
A02100M,A02,10,B,one,0,0,M,1.4632,1.4835,1.4863,1.058
A02110M,A02,11,B,one,0,0,M,1.4626,1.4828,1.4896,1.0597
A02120M,A02,12,B,one,0,0,M,1.4662,1.4868,1.4947,1.0606
A0210Q,A02,1,A,one,0,0,Q,1.4672,1.366833,1.5146,1.0831
A0220Q,A02,2,A,one,0,0,Q,1.4685,1.368233,1.512,1.0644
A0230Q,A02,3,A,one,0,0,Q,1.461,1.363333,1.5047,1.0897
A0240Q,A02,4,A,one,0,0,Q,1.4588,1.362933,1.5012,1.0873
A0250Q,A02,5,A,one,0,0,Q,1.4472,1.357633,1.4979,1.1001
A0260Q,A02,6,A,one,0,0,Q,1.4438,1.354733,1.4913,1.1422
A0270Q,A02,7,A,one,0,0,Q,1.4486,1.360833,1.4988,1.0762
A0280Q,A02,8,A,one,0,0,Q,1.4531,1.357933,1.5058,1.0796
A0290Q,A02,9,A,one,0,0,Q,1.4526,1.358033,1.5041,1.0739
A02100Q,A02,10,A,one,0,0,Q,1.4554,1.362133,1.5095,1.0585
A02110Q,A02,11,A,one,0,0,Q,1.4508,1.357233,1.511,1.0735
A02120Q,A02,12,A,one,0,0,Q,1.4446,1.352933,1.5073,1.0474
A0210Q,A02,1,B,one,0,0,Q,1.4812,1.378433,1.5291,1.0692
A0220Q,A02,2,B,one,0,0,Q,1.4836,1.381233,1.5257,1.07
A0230Q,A02,3,B,one,0,0,Q,1.4783,1.383533,1.5247,1.0817
A0240Q,A02,4,B,one,0,0,Q,1.479,1.382833,1.5247,1.0678
A0250Q,A02,5,B,one,0,0,Q,1.4746,1.378533,1.5284,1.0658
A0260Q,A02,6,B,one,0,0,Q,1.4762,1.377433,1.5277,1.0496
A0270Q,A02,7,B,one,0,0,Q,1.4762,1.378733,1.531,1.0604
A0280Q,A02,8,B,one,0,0,Q,1.4747,1.381633,1.5353,1.0604
A0290Q,A02,9,B,one,0,0,Q,1.4691,1.372433,1.522,1.0526
A02100Q,A02,10,B,one,0,0,Q,1.4678,1.368833,1.5217,1.0476
A02110Q,A02,11,B,one,0,0,Q,1.4807,1.371733,1.5299,1.0682
A02120Q,A02,12,B,one,0,0,Q,1.4732,1.362033,1.5249,1.0484
A0210M,A02,1,A,one,0.5,0,M,0.3214,0.3635,0.3899,0.2826
A0220M,A02,2,A,one,0.5,0,M,0.1824,0.1913,0.2827,0.1626
A0230M,A02,3,A,one,0.5,0,M,0.2434,0.3266,0.3041,0.2162
A0240M,A02,4,A,one,0.5,0,M,0.152,0.1801,0.2064,0.1216
A0250M,A02,5,A,one,0.5,0,M,0.1762,0.2148,0.2504,0.1633
A0260M,A02,6,A,one,0.5,0,M,0.1344,0.1609,0.1866,0.1207
A0270M,A02,7,A,one,0.5,0,M,0.1531,0.1795,0.2084,0.1275
A0280M,A02,8,A,one,0.5,0,M,0.1836,0.2165,0.2499,0.1432
A0290M,A02,9,A,one,0.5,0,M,0.1351,0.1526,0.177,0.1668
A02100M,A02,10,A,one,0.5,0,M,0.1553,0.1847,0.2112,0.1596
A02110M,A02,11,A,one,0.5,0,M,0.1849,0.2239,0.2563,0.1654
A02120M,A02,12,A,one,0.5,0,M,0.189,0.2349,0.2672,0.1734
A0210M,A02,1,B,one,0.5,0,M,0.3286,0.3917,0.4372,0.273
A0220M,A02,2,B,one,0.5,0,M,0.1546,0.1978,0.2206,0.1685
A0230M,A02,3,B,one,0.5,0,M,0.2304,0.2954,0.327,0.1999
A0240M,A02,4,B,one,0.5,0,M,0.1533,0.1865,0.2058,0.1464
A0250M,A02,5,B,one,0.5,0,M,0.1666,0.2014,0.2243,0.1906
A0260M,A02,6,B,one,0.5,0,M,0.128,0.1499,0.1646,0.1256
A0270M,A02,7,B,one,0.5,0,M,0.142,0.1661,0.1859,0.1268
A0280M,A02,8,B,one,0.5,0,M,0.1683,0.2021,0.2284,0.1476
A0290M,A02,9,B,one,0.5,0,M,0.1138,0.1319,0.1488,0.1365
A02100M,A02,10,B,one,0.5,0,M,0.1459,0.1767,0.2015,0.1764
A02110M,A02,11,B,one,0.5,0,M,0.1889,0.2306,0.2627,0.1293
A02120M,A02,12,B,one,0.5,0,M,0.1882,0.2282,0.259,0.1405
A0210M,A02,1,C,one,0.5,0,M,0.2846,0.3288,0.3719,0.2371
A0220M,A02,2,C,one,0.5,0,M,0.1512,0.1786,0.2026,0.1875
A0230M,A02,3,C,one,0.5,0,M,0.1921,0.2354,0.2629,0.2055
