Sample Name, SC5314-Anc, SC5314-Anc4, SC5314-S1, SC5314-S10, SC5314-S11, SC5314-S12, SC5314-S2, SC5314-S3, SC5314-S4, SC5314-S5, SC5314-S6, SC5314-S7, SC5314-S8, SC5314-S9
SNPs                         ,77301,77274,77413,77383,77170,77311,77282,77257,76472,77375,77327,77420,77239,77278
MNPs                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insertions                   ,6289,6313,6354,6317,6246,6301,6306,6278,6216,6323,6307,6322,6284,6289
Deletions                    ,7985,8010,8036,8010,7972,8003,7991,7980,7943,7984,8014,8011,8032,7983
Indels                       ,10,13,12,12,15,10,11,9,9,11,12,10,10,10
Same as reference            ,2141,2100,1909,1994,2322,2084,2138,2200,3080,2034,2059,1952,2154,2164
Partial Genotype             ,191,207,193,201,192,208,189,193,197,190,198,202,198,193
Phased Genotypes             , 45.9% (43066/93917), 45.9% (43073/93917), 45.8% (43049/93917), 46.0% (43200/93917), 46.3% (43475/93917), 45.8% (43052/93917), 45.8% (43033/93917), 46.0% (43187/93917), 45.4% (42615/93917), 45.9% (43138/93917), 46.2% (43379/93917), 46.0% (43224/93917), 46.0% (43170/93917), 46.1% (43257/93917)
SNP Transitions/Transversions, 2.13 (54808/25717), 2.13 (54805/25681), 2.13 (54875/25769), 2.13 (54835/25771), 2.13 (54734/25671), 2.13 (54837/25699), 2.13 (54818/25693), 2.13 (54788/25705), 2.13 (54518/25565), 2.13 (54850/25749), 2.13 (54846/25733), 2.13 (54866/25770), 2.13 (54781/25672), 2.13 (54812/25689)
Total Het/Hom ratio          , 21.90 (87769/4007), 22.02 (87829/3988), 21.98 (88004/4004), 21.93 (87914/4009), 21.76 (87571/4024), 21.96 (87833/4000), 21.91 (87773/4006), 21.79 (87693/4024), 19.45 (86395/4442), 21.93 (87876/4007), 21.75 (87820/4038), 22.01 (87969/3996), 22.00 (87774/3989), 21.95 (87755/3998)
SNP Het/Hom ratio            , 23.12 (74096/3205), 23.21 (74082/3192), 23.11 (74202/3211), 23.17 (74181/3202), 23.01 (73956/3214), 23.13 (74107/3204), 23.08 (74073/3209), 23.04 (74043/3214), 20.30 (72881/3591), 23.16 (74172/3203), 22.94 (74097/3230), 23.23 (74225/3195), 23.20 (74047/3192), 23.14 (74077/3201)
MNP Het/Hom ratio            , - (0/0), - (0/0), - (0/0), - (0/0), - (0/0), - (0/0), - (0/0), - (0/0), - (0/0), - (0/0), - (0/0), - (0/0), - (0/0), - (0/0)
Insertion Het/Hom ratio      , 18.97 (5974/315), 19.11 (5999/314), 19.04 (6037/317), 18.80 (5998/319), 18.77 (5930/316), 19.13 (5988/313), 18.96 (5990/316), 18.74 (5960/318), 17.84 (5886/330), 19.01 (6007/316), 18.71 (5987/320), 19.13 (6008/314), 18.95 (5969/315), 19.03 (5975/314)
Deletion Het/Hom ratio       , 15.53 (7502/483), 15.69 (7530/480), 15.88 (7560/476), 15.48 (7524/486), 15.30 (7483/489), 15.67 (7523/480), 15.65 (7511/480), 15.29 (7490/490), 14.30 (7424/519), 15.39 (7497/487), 15.42 (7526/488), 15.52 (7526/485), 15.66 (7550/482), 15.60 (7502/481)
Indel Het/Hom ratio          , - (10/0), - (13/0), - (12/0), - (12/0), - (15/0), - (10/0), - (11/0), - (9/0), - (9/0), - (11/0), - (12/0), - (10/0), - (10/0), - (10/0)
Insertion/Deletion ratio     , 0.79 (6289/7985), 0.79 (6313/8010), 0.79 (6354/8036), 0.79 (6317/8010), 0.78 (6246/7972), 0.79 (6301/8003), 0.79 (6306/7991), 0.79 (6278/7980), 0.78 (6216/7943), 0.79 (6323/7984), 0.79 (6307/8014), 0.79 (6322/8011), 0.78 (6284/8032), 0.79 (6289/7983)
Indel/SNP+MNP ratio          , 0.18 (14284/77301), 0.19 (14336/77274), 0.19 (14402/77413), 0.19 (14339/77383), 0.18 (14233/77170), 0.19 (14314/77311), 0.19 (14308/77282), 0.18 (14267/77257), 0.19 (14168/76472), 0.19 (14318/77375), 0.19 (14333/77327), 0.19 (14343/77420), 0.19 (14326/77239), 0.18 (14282/77278)
